"Tasks","Status","Assignees","Lists"
"20 Commits to Repo","To do","","#terminal-app-blackjack"
"Project Flowchart","To do","","#terminal-app-blackjack"
"Start the Chart","To do","","#terminal-app-blackjack"
"Finish the Chart","To do","","#terminal-app-blackjack"
"Python Code","To do","","#terminal-app-blackjack"
"Other Criteria","To do","","#terminal-app-blackjack"
"Uses Loops and Conditional Control","To do","","#terminal-app-blackjack"
"Variables and Values global and local scope","To do","","#terminal-app-blackjack"
"Functions Written ","To do","","#terminal-app-blackjack"
"Betting Function","To do","","#terminal-app-blackjack"
"Stand Function","To do","","#terminal-app-blackjack"
"Hit Function","To do","","#terminal-app-blackjack"
"Surrender Function","To do","","#terminal-app-blackjack"
"Bug Testing","To do","","#terminal-app-blackjack"
"Test Case 1","To do","","#terminal-app-blackjack"
"Test Case 2","To do","","#terminal-app-blackjack"
"Test Play","To do","","#terminal-app-blackjack"
"DRY Principle","To do","","#terminal-app-blackjack"
"Script That Makes Progam a exe","To do","","#terminal-app-blackjack"
"Python Package/s","To do","","#terminal-app-blackjack"
"Package 1","To do","","#terminal-app-blackjack"
"Package 2","To do","","#terminal-app-blackjack"
"Package 3","To do","","#terminal-app-blackjack"
"Package 4","To do","","#terminal-app-blackjack"
"Readme Documentaion","To do","","#terminal-app-blackjack"
"Outline and describe Features Present","To do","","#terminal-app-blackjack"
"Show Proof of use of Project Planner","To do","","#terminal-app-blackjack"
"Referenced Sources","To do","","#terminal-app-blackjack"
"Link to Repo","To do","","#terminal-app-blackjack"
"Identify style guide or styling conventions","To do","","#terminal-app-blackjack"
"Help Documention","To do","","#terminal-app-blackjack"
"Presentation","To do","","#terminal-app-blackjack"
"Features Listed","To do","","#terminal-app-blackjack"
"Walkthrough of logic","To do","","#terminal-app-blackjack"
"General Progress documented","To do","","#terminal-app-blackjack"
"Favourite Parts","To do","","#terminal-app-blackjack"
"Difficult Parts","To do","","#terminal-app-blackjack"
"Gameplay Loop Recorded","To do","","#terminal-app-blackjack"